Rekha
Rene Russo
Renée Zellweger
Rex Harrison
Rhona Mitra
Rhonda Fleming
Rhys Ifans
Ricardo Darin
Ricardo Montalban
Richard Armitage
Richard Attenborough
Richard Berry
Richard Bohringer
Richard Boone
Richard Burton
Richard Chamberlain
Richard Dean Anderson
Richard Dreyfuss
Richard E. Grant
Richard Gere
Richard Harris
Richard Kiel
Richard O’Brien
Richard Pryor
Richard Roxburgh
Richard Widmark
Rick Moranis
Rik Mayall
Rishi Kapoor
Rita Hayworth
Rita Moreno
River Phoenix
Rob Lowe
Rob Schneider
Robbie Coltrane
Robert Carlyle
Robert Conrad
Robert Dalban
Robert De Niro
Robert Downey Jr
Robert Duvall
Robert Englund
Robert Hoffman
Robert Hossein
Robert Mitchum
Robert Patrick
Robert Pattinson ( portraits)
Robert Powell
Robert Redford
Robert Ryan
Robert Shaw
Robert Sheehan
Robert Taylor
Robert Vaughn
Robert Wagner
Roberto Benigni
Robin Tunney
Robin Williams
Robin Wright
Robinson Stévenin
Rochelle Hudson
Rock Hudson
Rod Steiger
Roddy McDowall
Rodney Dangerfield
Rodrigo Santoro
Roger Moore
Romain Duris
Roman Polanski
Romola Garai
Romy Schneider
Ron Howard
Ron Moody
Ron Perlman
Ronald Colman
Rooney Mara
Rory Calhoun
Rosalind Russell
Rosamund Pike
Rosanna Arquette
Rosario Dawson
Roschdy Zem
Rose Byrne
Rossy de Palma
Rowan Atkinson
Roy Rogers
Roy Scheider
Rudolph Valentino
Rudy Youngblood
Rupert Friend
Rupert Grint
Russell Crowe
Rutger Hauer
Ryan Gosling
Ryan Hurst
Ryan O’Neal
Ryan Phillippe
Ryan Reynolds
Ryoko Hirosue
Sabin Tambrea
Sacha Baron Cohen
Sagamore Stévenin
Saïd Taghmaoui
Sala Baker
Sally Field
Salma Hayek
Salman Khan
Sam Elliott
Sam Neill
Sam Worthington
Samuel L. Jackson
Sanaa Lathan
Sandra Bullock
Sandra Dee
Sandra Oh
Sandrine Bonnaire
Sandrine Kiberlain
Sanjay Dutt
Saoirse Ronan
Sara Montiel
Sarah Douglas
Sarah Jessica Parker
Sarah Paulson
Sarah Shahi
Sarah Silverman
Sasha Alexander
Satyajit Ray
Scarlett Johansson ( portraits)
Scott Adkins
Scott Caan
Scott Eastwood
Scott Glenn
Scott Wilson
Sean Astin
Sean Connery
Sean Patrick Flanery
Sean Penn
Sean Young
Seann William Scott
Selma Blair
Senta Berger
Serge Dupire
Sergei Bodrov Jr.
Sergey Chirkov
Sergio Leone
Serhat Tutumluer
Seth Green
Setsuko Hara
Shahid Kapoor
Shahrukh Khan
Shammi Kapoor
Shannon Elizabeth
Shannyn Sossamon
Shaquille O’Neal
Sharlto Copley
Sharmila Tagore
Sharon Stone
Sharon Tate
Shatrughan Sinha
Shawn Ashmore
Shelley Duvall
Sheri Moon
Sheryl Lee
Shia LaBeouf
Shilpa Shetty
Shirley MacLaine
Shirley Temple
Shobana Chandrakumar
Shriya Saran
Shu Qi
Sid Haig
Siddharth Malhotra
Sidney Poitier
Sienna Guillory
Sienna Miller
Sigourney Weaver
Simon Pegg
Simone Signoret
Simone Simon
Simonetta Stefanelli
Sissy Spacek
Skandar Keynes
Smita Patil
Soad Hosny
Sofia Coppola
Sofia Vassilieva
Solaf Fawakhergy
Sonakshi Sinha
Sonam Kapoor
Sophia Loren
Sophia Myles
Sophie Marceau
Spencer Tracy
Spike Lee
Sridevi
Stacey Dash
Stan Laurel
Stanislav Ianevski
